memberID,groupID,joinDate,gradDate
91,18,2004/8/10,2009/1/1
92,18,2004/8/10,2006/7/1
93,18,2004/8/10,2009/8/30
94,18,2004/8/10,2007/6/10
95,18,2004/8/10,2010/6/29
96,18,2004/8/10,2007/11/30
97,18,2004/8/10,2010/11/28
98,18,2004/8/10,2005/7/1
29,19,2004/8/10,2008/6/29
66,19,2004/8/10,2008/6/29
68,19,2004/8/10,2008/6/29
75,15,2004/8/14,2009/3/31
90,15,2004/8/14,2005/9/14
99,1,2005/5/1,2009/12/6
55,20,2005/6/11,2009/10/25
56,20,2005/6/11,2017/6/12
57,20,2005/6/11,2006/10/31
58,20,2005/6/11,2017/6/12
59,20,2005/6/11,2017/6/12
60,20,2005/6/11,2017/6/12
61,20,2005/6/11,2017/6/12
78,21,2005/10/8,2009/3/31
67,21,2005/10/8,2006/1/1
86,21,2005/10/8,2009/3/31
72,21,2005/10/8,2006/9/30
76,21,2005/10/8,2009/3/31
67,20,2006/1/2,2009/7/9
82,21,2006/1/2,2009/3/31
100,18,2006/6/4,2008/3/29
101,18,2006/6/4,2007/8/7
102,18,2006/6/4,2010/6/12
69,22,2006/8/2,2007/9/30
70,22,2006/8/2,2007/9/30
71,22,2006/8/2,2007/9/30
88,23,2006/8/25,2006/11/1
104,23,2006/8/25,2009/7/25
105,23,2006/8/25,2011/4/17
106,23,2006/8/25,2011/4/17
107,23,2006/8/25,2011/4/17
72,22,2006/10/1,2007/9/30
73,22,2006/10/1,2007/9/30
74,22,2006/10/1,2007/9/30
108,1,2006/12/10,2012/5/18
96,21,2007/1/10,2007/11/30
109,1,2007/3/15,2010/12/15
110,1,2007/3/15,2010/12/15
111,18,2007/4/1,2010/12/24
47,15,2007/4/23,2012/1/1
56,15,2007/4/23,2015/3/15
50,15,2007/4/23,2009/1/22
59,15,2007/4/23,2009/1/22
58,15,2007/4/23,2012/1/1
51,15,2007/4/23,2008/8/1
55,15,2007/4/23,2008/8/1
49,15,2007/4/23,2009/1/22
89,15,2007/4/23,2008/4/30
60,15,2007/5/12,2012/1/1
76,15,2007/6/19,2009/8/10
100,15,2007/6/19,2008/8/1
85,15,2007/6/19,2010/12/21
93,15,2007/6/19,2009/8/30
99,24,2007/6/29,2007/9/28
61,24,2007/6/29,2007/9/28
29,26,2007/7/12,2009/3/31
30,26,2007/7/12,2009/3/31
45,26,2007/7/12,2009/3/31
41,26,2007/7/12,2009/3/31
75,26,2007/7/12,2009/3/31
76,26,2007/7/12,2009/9/23
100,26,2007/7/12,2008/3/2
85,26,2007/7/12,2010/3/31
93,26,2007/7/12,2009/8/30
89,26,2007/7/12,2008/4/30
41,15,2007/7/15,2009/3/31
48,25,2007/7/21,2017/5/22
51,25,2007/7/21,2015/3/3
59,25,2007/7/21,2017/5/22
43,27,2007/9/12,2008/3/30
108,27,2007/9/12,2008/3/30
58,27,2007/9/12,2008/3/30
60,27,2007/9/12,2008/3/30
83,21,2007/12/11,2009/3/31
61,15,2007/12/27,2009/1/22
67,15,2007/12/27,2009/1/22
99,28,2008/3/3,2009/5/4
87,28,2008/3/3,2009/5/4
111,28,2008/3/3,2009/5/4
112,18,2008/6/22,2011/1/1
113,18,2008/6/22,2011/8/13
114,18,2008/6/22,2013/12/1
78,31,2008/9/20,2009/10/2
83,31,2008/9/20,2010/3/27
79,31,2008/9/20,2009/10/2
77,31,2008/9/20,2009/10/2
115,29,2008/9/21,2010/11/1
116,29,2008/9/21,2010/11/1
117,29,2008/9/21,2010/11/1
118,29,2008/9/21,2010/11/1
119,29,2008/9/21,2010/11/1
120,29,2008/9/21,2010/11/1
115,30,2008/9/21,2010/11/1
116,30,2008/9/21,2010/11/1
117,30,2008/9/21,2010/11/1
118,30,2008/9/21,2010/11/1
119,30,2008/9/21,2010/11/1
120,30,2008/9/21,2010/11/1
123,18,2008/11/24,2013/9/10
121,29,2009/3/1,2012/5/1
122,29,2009/3/1,2012/5/1
108,32,2009/4/3,2010/3/27
53,32,2009/4/3,2010/3/27
54,32,2009/4/3,2010/3/27
58,32,2009/4/3,2010/3/27
124,18,2009/4/4,2011/3/9
125,18,2009/4/4,2009/4/30
77,33,2009/4/4,2019/6/18
78,33,2009/4/4,2011/12/31
79,33,2009/4/4,2015/11/29
80,33,2009/4/4,2011/8/24
126,18,2009/6/7,2011/8/13
127,18,2009/6/7,2010/11/28
83,12,2009/7/15,2011/4/18
121,34,2009/9/15,2012/5/1
122,34,2009/9/15,2012/5/1
112,31,2009/10/3,2010/3/27
88,31,2009/10/3,2010/3/27
129,31,2009/10/3,2010/3/27
128,18,2009/11/23,2013/9/10
129,18,2010/2/28,2014/11/1
130,18,2010/3/27,2011/9/28
131,18,2010/3/27,2010/11/28
132,18,2010/3/27,2011/9/11
77,35,2010/4/4,2012/3/28
78,35,2010/4/4,2011/12/31
79,35,2010/4/4,2012/3/28
112,1,2011/1/2,
133,1,2011/1/2,
134,1,2011/1/2,2015/12/31
135,1,2011/1/2,2016/5/31
136,18,2011/6/19,2014/11/1
137,18,2011/6/19,2015/9/1
138,18,2011/6/19,2015/9/1
139,18,2011/7/1,2013/7/5
140,18,2011/7/1,2013/2/1
141,18,2011/7/1,2015/9/1
113,33,2011/8/14,
126,33,2011/8/14,2019/9/25
142,33,2011/8/14,2019/12/10
143,33,2011/8/14,2016/5/30
144,33,2011/8/14,2011/9/9
130,1,2011/9/29,2017/12/11
145,1,2011/9/29,2018/12/16
146,1,2011/9/29,
147,1,2011/9/29,
148,18,2011/10/1,2012/9/13
149,18,2011/11/12,2012/8/1
144,18,2012/3/16,2014/5/4
150,18,2012/3/16,2013/9/10
151,18,2012/3/31,2014/10/3
152,18,2012/6/17,2013/6/1
153,18,2012/6/17,2015/9/1
154,18,2012/6/17,2017/2/21
148,1,2012/9/14,
156,18,2012/12/9,2014/9/29
157,18,2012/12/9,2016/12/11
158,18,2012/12/9,2013/9/10
159,18,2012/12/9,2015/9/1
160,18,2012/12/9,2017/2/21
161,18,2012/12/9,2018/10/18
155,36,2013/2/25,2019/6/17
158,36,2013/2/25,
128,36,2013/2/25,2021/2/12
139,36,2013/2/25,2013/7/5
123,36,2013/2/25,2020/12/10
150,36,2013/2/25,
162,18,2013/3/31,2014/10/3
163,18,2013/5/5,2014/11/4
164,18,2013/5/5,2015/9/1
165,18,2013/5/5,2014/9/1
166,18,2013/5/5,2015/3/1
167,18,2013/5/5,2018/6/1
168,18,2013/5/5,2013/10/1
169,18,2013/9/22,2014/9/29
170,18,2013/9/22,2015/11/4
171,18,2013/9/22,2017/6/25
172,18,2013/9/22,2014/11/4
173,18,2013/9/22,2017/2/21
174,18,2013/9/22,2016/9/1
175,18,2013/9/22,2014/9/1
176,18,2014/5/4,2014/10/3
177,18,2014/5/4,2016/5/1
178,18,2014/5/4,2015/5/1
156,1,2014/9/30,
169,1,2014/9/30,
179,1,2014/9/30,2018/6/20
180,1,2014/9/30,
151,33,2014/10/4,2020/3/22
162,33,2014/10/4,
176,33,2014/10/4,2017/12/31
184,18,2014/10/25,2017/2/21
185,18,2014/10/25,2017/2/21
48,5,2014/11/5,2017/6/30
163,5,2014/11/5,2016/8/4
172,5,2014/11/5,2019/12/26
181,5,2014/11/5,2019/12/26
182,5,2014/11/5,2015/6/12
183,5,2014/11/5,2019/12/26
186,18,2014/11/29,2015/9/1
187,18,2014/11/29,2015/9/1
188,18,2014/11/29,2017/2/21
189,18,2014/11/29,2017/2/21
190,18,2014/11/29,2016/9/1
191,18,2014/11/29,2018/9/1
192,18,2014/11/29,2016/9/1
137,37,2015/1/2,2020/3/30
